,4100-iSIC,SDL500R,SDL500R,SDL500R,SDL500R,SDL500R,SDL500R,SDL500R
,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg
Date/Time,Bat,Temp,Sp Cond,pH,Turb+,ODOSat,ODO,Bat
m/d/y,V,F,µS/cm,,NTU+,%,mg/L,V
7/6/2010 6:20,14.9,,,,,,,
7/6/2010 6:30,15,,,,,,,
7/6/2010 6:40,15.1,,,,,,,
7/6/2010 6:50,15.3,,,,,,,
7/6/2010 7:00,15.3,,,,,,,
7/6/2010 7:10,15.3,,,,,,,
7/6/2010 7:20,15.4,,,,,,,
7/6/2010 7:30,15.3,,,,,,,
7/6/2010 7:40,15.3,,,,,,,
7/6/2010 7:50,15.4,,,,,,,
7/6/2010 8:00,15.5,,,,,,,
7/6/2010 8:10,15.5,,,,,,,
7/6/2010 8:20,15.5,,,,,,,
7/6/2010 8:30,15.5,,,,,,,
7/6/2010 8:40,15.5,,,,,,,
7/6/2010 8:50,15.5,,,,,,,
7/6/2010 9:00,15.5,,,,,,,
7/6/2010 9:10,15.5,,,,,,,
7/6/2010 9:20,15.5,,,,,,,
7/6/2010 9:30,15.4,,,,,,,
7/6/2010 9:40,15.4,,,,,,,
7/6/2010 9:50,15.4,,,,,,,
7/6/2010 10:00,15.4,,,,,,,
7/6/2010 10:10,15.4,,,,,,,
7/6/2010 10:20,15.3,,,,,,,
7/6/2010 10:30,15.2,,,,,,,
7/6/2010 10:40,15.1,,,,,,,
7/6/2010 10:50,15.1,,,,,,,
7/6/2010 11:00,15,,,,,,,
7/6/2010 11:10,15,,,,,,,
7/6/2010 11:20,15,,,,,,,
7/6/2010 11:30,15,,,,,,,
7/6/2010 11:40,15,,,,,,,
7/6/2010 11:50,15.1,,,,,,,
7/6/2010 12:00,15,,,,,,,
7/6/2010 12:10,15,,,,,,,
7/6/2010 12:20,15,,,,,,,
7/6/2010 12:30,15,,,,,,,
7/6/2010 12:40,15,,,,,,,
7/6/2010 12:50,15,,,,,,,
7/6/2010 13:00,14.9,,,,,,,
7/6/2010 13:10,14.9,,,,,,,
7/6/2010 13:20,14.9,,,,,,,
7/6/2010 13:30,14.9,,,,,,,
7/6/2010 13:40,14.9,,,,,,,
7/6/2010 13:50,14.9,,,,,,,
7/6/2010 14:00,14.8,,,,,,,
7/6/2010 14:10,14.8,,,,,,,
7/6/2010 14:20,14.8,,,,,,,
7/6/2010 14:30,14.8,,,,,,,
7/6/2010 14:40,14.7,,,,,,,
7/6/2010 14:50,14.7,,,,,,,
7/6/2010 15:00,14.7,,,,,,,
7/6/2010 15:10,14.7,,,,,,,
7/6/2010 15:20,14.7,,,,,,,
7/6/2010 15:30,14.6,,,,,,,
7/6/2010 15:40,14.6,,,,,,,
7/6/2010 15:50,14.6,,,,,,,
7/6/2010 16:00,14.5,,,,,,,
7/6/2010 16:10,14.5,,,,,,,
7/6/2010 16:20,14.4,,,,,,,
7/6/2010 16:30,14.4,,,,,,,
7/6/2010 16:40,14.3,,,,,,,
7/6/2010 16:50,14.3,,,,,,,
7/6/2010 17:00,14.2,,,,,,,
7/6/2010 17:10,14.1,,,,,,,
7/6/2010 17:20,14,,,,,,,
7/6/2010 17:30,13.9,,,,,,,
7/6/2010 17:40,13.8,,,,,,,
7/6/2010 17:50,13.8,,,,,,,
7/6/2010 18:00,13.8,,,,,,,
7/6/2010 18:10,13.8,,,,,,,
7/6/2010 18:20,13.8,,,,,,,
7/6/2010 18:30,13.8,,,,,,,
7/6/2010 18:40,13.8,,,,,,,
7/6/2010 18:50,13.8,,,,,,,
7/6/2010 19:00,13.8,,,,,,,
7/6/2010 19:10,13.8,,,,,,,
7/6/2010 19:20,13.8,,,,,,,
7/6/2010 19:30,13.8,,,,,,,
7/6/2010 19:40,13.8,,,,,,,
7/6/2010 19:50,13.8,,,,,,,
7/6/2010 20:00,13.7,,,,,,,
7/6/2010 20:10,13.8,,,,,,,
7/6/2010 20:20,13.8,,,,,,,
7/6/2010 20:30,13.8,,,,,,,
7/6/2010 20:40,13.8,,,,,,,
7/6/2010 20:50,13.8,,,,,,,
7/6/2010 21:00,13.8,,,,,,,
7/6/2010 21:10,13.8,,,,,,,
7/6/2010 21:20,13.8,,,,,,,
7/6/2010 21:30,13.8,,,,,,,
7/6/2010 21:40,13.8,,,,,,,
7/6/2010 21:50,13.8,,,,,,,
7/6/2010 22:00,13.7,,,,,,,
7/6/2010 22:10,13.8,,,,,,,
7/6/2010 22:20,13.8,,,,,,,
7/6/2010 22:30,13.8,,,,,,,
7/6/2010 22:40,13.7,,,,,,,
7/6/2010 22:50,13.7,,,,,,,
7/6/2010 23:00,13.7,,,,,,,
7/6/2010 23:10,13.7,,,,,,,
7/6/2010 23:20,13.7,,,,,,,
7/6/2010 23:30,13.7,,,,,,,
7/6/2010 23:40,13.7,,,,,,,
7/6/2010 23:50,13.7,,,,,,,
7/7/2010 0:00,13.7,,,,,,,
7/7/2010 0:10,13.7,,,,,,,
7/7/2010 0:20,13.7,,,,,,,
7/7/2010 0:30,13.7,,,,,,,
7/7/2010 0:40,13.7,,,,,,,
7/7/2010 0:50,13.7,,,,,,,
7/7/2010 1:00,13.7,,,,,,,
7/7/2010 1:10,13.7,,,,,,,
7/7/2010 1:20,13.7,,,,,,,
7/7/2010 1:30,13.7,,,,,,,
7/7/2010 1:40,13.7,,,,,,,
7/7/2010 1:50,13.7,,,,,,,
7/7/2010 2:00,13.7,,,,,,,
7/7/2010 2:10,13.7,,,,,,,
7/7/2010 2:20,13.7,,,,,,,
7/7/2010 2:30,13.7,,,,,,,
7/7/2010 2:40,13.6,,,,,,,
7/7/2010 2:50,13.7,,,,,,,
7/7/2010 3:00,13.6,,,,,,,
7/7/2010 3:10,13.7,,,,,,,
7/7/2010 3:20,13.6,,,,,,,
7/7/2010 3:30,13.7,,,,,,,
7/7/2010 3:40,13.7,,,,,,,
7/7/2010 3:50,13.7,,,,,,,
7/7/2010 4:00,13.8,,,,,,,
7/7/2010 4:10,13.9,,,,,,,
7/7/2010 4:20,14.1,,,,,,,
7/7/2010 4:30,14.2,,,,,,,
7/7/2010 4:40,14.3,,,,,,,
7/7/2010 4:50,14.4,,,,,,,
7/7/2010 5:00,14.4,,,,,,,
7/7/2010 5:10,14.4,,,,,,,
7/7/2010 5:20,14.4,,,,,,,
7/7/2010 5:30,14.5,,,,,,,
7/7/2010 5:40,14.5,,,,,,,
7/7/2010 5:50,14.6,,,,,,,
7/7/2010 6:00,14.7,,,,,,,
7/7/2010 6:10,14.8,,,,,,,
7/7/2010 6:20,15,,,,,,,
7/7/2010 6:30,15.2,,,,,,,
7/7/2010 6:40,15.4,,,,,,,
7/7/2010 6:50,15.5,,,,,,,
7/7/2010 7:00,15.5,,,,,,,
7/7/2010 7:10,15.5,,,,,,,
7/7/2010 7:20,15.6,,,,,,,
7/7/2010 7:30,15.7,,,,,,,
7/7/2010 7:40,15.7,,,,,,,
7/7/2010 7:50,15.8,,,,,,,
7/7/2010 8:00,15.7,,,,,,,
7/7/2010 8:10,15.7,,,,,,,
7/7/2010 8:20,15.8,,,,,,,
7/7/2010 8:30,15.8,,,,,,,
7/7/2010 8:40,15.8,,,,,,,
7/7/2010 8:50,15.8,,,,,,,
7/7/2010 9:00,15.7,,,,,,,
7/7/2010 9:10,15.7,,,,,,,
7/7/2010 9:20,15.7,,,,,,,
7/7/2010 9:30,15.7,,,,,,,
7/7/2010 9:40,15.7,,,,,,,
7/7/2010 9:50,15.7,,,,,,,
7/7/2010 10:00,15.7,,,,,,,
7/7/2010 10:10,15.7,,,,,,,
7/7/2010 10:20,15.6,,,,,,,
7/7/2010 10:30,15.5,,,,,,,
7/7/2010 10:40,15.5,,,,,,,
7/7/2010 10:50,15.4,,,,,,,
7/7/2010 11:00,15.2,,,,,,,
7/7/2010 11:10,15.2,,,,,,,
7/7/2010 11:20,15,,,,,,,
7/7/2010 11:30,15,,,,,,,
7/7/2010 11:40,15.1,,,,,,,
7/7/2010 11:50,15.1,,,,,,,
7/7/2010 12:00,15.1,,,,,,,
7/7/2010 12:10,15.1,,,,,,,
7/7/2010 12:20,15.1,,,,,,,
7/7/2010 12:30,15.1,,,,,,,
7/7/2010 12:40,15.2,,,,,,,
7/7/2010 12:50,15.1,,,,,,,
7/7/2010 13:00,15.1,,,,,,,
7/7/2010 13:10,15.1,,,,,,,
7/7/2010 13:20,15.1,,,,,,,
7/7/2010 13:30,15.1,,,,,,,
7/7/2010 13:40,15,,,,,,,
7/7/2010 13:50,15,,,,,,,
7/7/2010 14:00,15,,,,,,,
7/7/2010 14:10,15,,,,,,,
7/7/2010 14:20,15,,,,,,,
7/7/2010 14:30,14.9,,,,,,,
7/7/2010 14:40,14.9,,,,,,,
7/7/2010 14:50,14.9,,,,,,,
7/7/2010 15:00,14.9,,,,,,,
7/7/2010 15:10,14.8,,,,,,,
7/7/2010 15:20,14.8,,,,,,,
7/7/2010 15:30,14.8,,,,,,,
7/7/2010 15:40,14.8,,,,,,,
7/7/2010 15:50,14.7,,,,,,,
7/7/2010 16:00,14.7,,,,,,,
7/7/2010 16:10,14.7,,,,,,,
7/7/2010 16:20,14.6,,,,,,,
7/7/2010 16:30,14.5,,,,,,,
7/7/2010 16:40,14.4,,,,,,,
7/7/2010 16:50,14.4,,,,,,,
7/7/2010 17:00,14.3,,,,,,,
7/7/2010 17:10,14.2,,,,,,,
7/7/2010 17:20,14.1,,,,,,,
7/7/2010 17:30,14,,,,,,,
7/7/2010 17:40,13.9,,,,,,,
7/7/2010 17:50,13.8,,,,,,,
7/7/2010 18:00,13.8,,,,,,,
7/7/2010 18:10,13.8,,,,,,,
7/7/2010 18:20,13.8,,,,,,,
7/7/2010 18:30,13.8,,,,,,,
7/7/2010 18:40,13.8,,,,,,,
7/7/2010 18:50,13.8,,,,,,,
7/7/2010 19:00,13.8,,,,,,,
7/7/2010 19:10,13.8,,,,,,,
7/7/2010 19:20,13.8,,,,,,,
7/7/2010 19:30,13.8,,,,,,,
7/7/2010 19:40,13.8,,,,,,,
7/7/2010 19:50,13.8,,,,,,,
7/7/2010 20:00,13.8,,,,,,,
7/7/2010 20:10,13.8,,,,,,,
7/7/2010 20:20,13.8,,,,,,,
7/7/2010 20:30,13.8,,,,,,,
7/7/2010 20:40,13.8,,,,,,,
7/7/2010 20:50,13.8,,,,,,,
7/7/2010 21:00,13.8,,,,,,,
7/7/2010 21:10,13.8,,,,,,,
7/7/2010 21:20,13.8,,,,,,,
7/7/2010 21:30,13.8,,,,,,,
7/7/2010 21:40,13.8,,,,,,,
7/7/2010 21:50,13.8,,,,,,,
7/7/2010 22:00,13.7,,,,,,,
7/7/2010 22:10,13.8,,,,,,,
7/7/2010 22:20,13.8,,,,,,,
7/7/2010 22:30,13.7,,,,,,,
7/7/2010 22:40,13.7,,,,,,,
7/7/2010 22:50,13.7,,,,,,,
7/7/2010 23:00,13.7,,,,,,,
7/7/2010 23:10,13.7,,,,,,,
7/7/2010 23:20,13.7,,,,,,,
7/7/2010 23:30,13.7,,,,,,,
7/7/2010 23:40,13.7,,,,,,,
7/7/2010 23:50,13.7,,,,,,,
7/8/2010 0:00,13.7,,,,,,,
7/8/2010 0:10,13.7,,,,,,,
7/8/2010 0:20,13.7,,,,,,,
7/8/2010 0:30,13.7,,,,,,,
7/8/2010 0:40,13.7,,,,,,,
7/8/2010 0:50,13.7,,,,,,,
7/8/2010 1:00,13.7,,,,,,,
7/8/2010 1:10,13.7,,,,,,,
7/8/2010 1:20,13.7,,,,,,,
7/8/2010 1:30,13.7,,,,,,,
7/8/2010 1:40,13.7,,,,,,,
7/8/2010 1:50,13.7,,,,,,,
7/8/2010 2:00,13.7,,,,,,,
7/8/2010 2:10,13.7,,,,,,,
7/8/2010 2:20,13.7,,,,,,,
7/8/2010 2:30,13.7,,,,,,,
7/8/2010 2:40,13.7,,,,,,,
7/8/2010 2:50,13.7,,,,,,,
7/8/2010 3:00,13.7,,,,,,,
7/8/2010 3:10,13.6,,,,,,,
7/8/2010 3:20,13.6,,,,,,,
7/8/2010 3:30,13.6,,,,,,,
7/8/2010 3:40,13.7,,,,,,,
7/8/2010 3:50,13.7,,,,,,,
7/8/2010 4:00,13.7,,,,,,,
7/8/2010 4:10,13.8,,,,,,,
7/8/2010 4:20,13.9,,,,,,,
7/8/2010 4:30,14.1,,,,,,,
7/8/2010 4:40,14.3,,,,,,,
7/8/2010 4:50,14.4,,,,,,,
7/8/2010 5:00,14.4,,,,,,,
7/8/2010 5:10,14.4,,,,,,,
7/8/2010 5:20,14.5,,,,,,,
7/8/2010 5:30,14.5,,,,,,,
7/8/2010 5:40,14.6,,,,,,,
7/8/2010 5:50,14.6,,,,,,,
7/8/2010 6:00,14.7,,,,,,,
7/8/2010 6:10,14.8,,,,,,,
7/8/2010 6:20,15,,,,,,,
7/8/2010 6:30,15.1,,,,,,,
7/8/2010 6:40,15.2,,,,,,,
7/8/2010 6:50,15.2,,,,,,,
7/8/2010 7:00,15.3,,,,,,,
7/8/2010 7:10,15.2,,,,,,,
7/8/2010 7:20,15.2,,,,,,,
7/8/2010 7:30,15.2,,,,,,,
7/8/2010 7:40,15.2,,,,,,,
7/8/2010 7:50,15.3,,,,,,,
7/8/2010 8:00,15.3,,,,,,,
7/8/2010 8:10,15.4,,,,,,,
7/8/2010 8:20,14.8,,,,,,,
7/8/2010 8:30,15.7,,,,,,,
7/8/2010 8:40,15.7,,,,,,,
7/8/2010 8:50,15.7,,,,,,,
7/8/2010 9:00,14.9,,,,,,,
7/8/2010 9:10,15.7,,,,,,,
7/8/2010 9:20,15.6,,,,,,,
7/8/2010 9:30,15.4,,,,,,,
7/8/2010 9:40,15.5,,,,,,,
7/8/2010 9:50,15.4,,,,,,,
7/8/2010 10:00,15.4,,,,,,,
7/8/2010 10:10,15.3,,,,,,,
7/8/2010 10:20,15.4,,,,,,,
7/8/2010 10:30,14.9,,,,,,,
7/8/2010 10:40,14.7,,,,,,,
7/8/2010 10:50,15.2,,,,,,,
7/8/2010 11:00,15.1,,,,,,,
7/8/2010 11:10,15,,,,,,,
7/8/2010 11:20,15.1,,,,,,,
7/8/2010 11:30,14.9,,,,,,,
7/8/2010 11:40,14.8,,,,,,,
7/8/2010 11:50,14.7,,,,,,,
7/8/2010 12:00,14.9,,,,,,,
7/8/2010 12:10,15.1,,,,,,,
7/8/2010 12:20,15,,,,,,,
7/8/2010 12:30,15,,,,,,,
7/8/2010 12:40,15,,,,,,,
7/8/2010 12:50,15,,,,,,,
7/8/2010 13:00,14.9,,,,,,,
7/8/2010 13:10,15,,,,,,,
7/8/2010 13:20,14.9,,,,,,,
7/8/2010 13:30,14.9,,,,,,,
7/8/2010 13:40,14.9,,,,,,,
7/8/2010 13:50,14.9,,,,,,,
7/8/2010 14:00,14.9,,,,,,,
7/8/2010 14:10,14.8,,,,,,,
7/8/2010 14:20,14.8,,,,,,,
7/8/2010 14:30,14.8,,,,,,,
7/8/2010 14:40,14.8,,,,,,,
7/8/2010 14:50,14.8,,,,,,,
7/8/2010 15:00,14.8,,,,,,,
7/8/2010 15:10,14.7,,,,,,,
7/8/2010 15:20,14.7,,,,,,,
7/8/2010 15:30,14.7,,,,,,,
7/8/2010 15:40,14.7,,,,,,,
7/8/2010 15:50,14.7,,,,,,,
7/8/2010 16:00,14.6,,,,,,,
7/8/2010 16:10,14.5,,,,,,,
7/8/2010 16:20,14.5,,,,,,,
7/8/2010 16:30,14.5,,,,,,,
7/8/2010 16:40,14.4,,,,,,,
7/8/2010 16:50,14.3,,,,,,,
7/8/2010 17:00,14.3,,,,,,,
7/8/2010 17:10,14.2,,,,,,,
7/8/2010 17:20,14.1,,,,,,,
7/8/2010 17:30,14,,,,,,,
7/8/2010 17:40,13.9,,,,,,,
7/8/2010 17:50,13.8,,,,,,,
7/8/2010 18:00,13.8,,,,,,,
7/8/2010 18:10,13.8,,,,,,,
7/8/2010 18:20,13.8,,,,,,,
7/8/2010 18:30,13.8,,,,,,,
7/8/2010 18:40,13.8,,,,,,,
7/8/2010 18:50,13.8,,,,,,,
7/8/2010 19:00,13.8,,,,,,,
7/8/2010 19:10,13.8,,,,,,,
7/8/2010 19:20,13.8,,,,,,,
7/8/2010 19:30,13.8,,,,,,,
7/8/2010 19:40,13.8,,,,,,,
7/8/2010 19:50,13.8,,,,,,,
7/8/2010 20:00,13.8,,,,,,,
7/8/2010 20:10,13.8,,,,,,,
7/8/2010 20:20,13.8,,,,,,,
7/8/2010 20:30,13.8,,,,,,,
7/8/2010 20:40,13.8,,,,,,,
7/8/2010 20:50,13.8,,,,,,,
7/8/2010 21:00,13.7,,,,,,,
7/8/2010 21:10,13.8,,,,,,,
7/8/2010 21:20,13.8,,,,,,,
7/8/2010 21:30,13.8,,,,,,,
7/8/2010 21:40,13.8,,,,,,,
7/8/2010 21:50,13.8,,,,,,,
7/8/2010 22:00,13.8,,,,,,,
7/8/2010 22:10,13.8,,,,,,,
7/8/2010 22:20,13.8,,,,,,,
7/8/2010 22:30,13.7,,,,,,,
7/8/2010 22:40,13.7,,,,,,,
7/8/2010 22:50,13.7,,,,,,,
7/8/2010 23:00,13.7,,,,,,,
7/8/2010 23:10,13.7,,,,,,,
7/8/2010 23:20,13.7,,,,,,,
7/8/2010 23:30,13.7,,,,,,,
7/8/2010 23:40,13.7,,,,,,,
7/8/2010 23:50,13.7,,,,,,,
7/9/2010 0:00,13.7,,,,,,,
7/9/2010 0:10,13.7,,,,,,,
7/9/2010 0:20,13.7,,,,,,,
7/9/2010 0:30,13.7,,,,,,,
7/9/2010 0:40,13.7,,,,,,,
7/9/2010 0:50,13.7,,,,,,,
7/9/2010 1:00,13.7,,,,,,,
7/9/2010 1:10,13.7,,,,,,,
7/9/2010 1:20,13.7,,,,,,,
7/9/2010 1:30,13.7,,,,,,,
7/9/2010 1:40,13.7,,,,,,,
7/9/2010 1:50,13.7,,,,,,,
7/9/2010 2:00,13.7,,,,,,,
7/9/2010 2:10,13.7,,,,,,,
7/9/2010 2:20,13.7,,,,,,,
7/9/2010 2:30,13.7,,,,,,,
7/9/2010 2:40,13.7,,,,,,,
7/9/2010 2:50,13.7,,,,,,,
7/9/2010 3:00,13.7,,,,,,,
7/9/2010 3:10,13.7,,,,,,,
7/9/2010 3:20,13.6,,,,,,,
7/9/2010 3:30,13.7,,,,,,,
7/9/2010 3:40,13.7,,,,,,,
7/9/2010 3:50,13.7,,,,,,,
7/9/2010 4:00,13.7,,,,,,,
7/9/2010 4:10,13.7,,,,,,,
7/9/2010 4:20,13.7,,,,,,,
7/9/2010 4:30,13.7,,,,,,,
7/9/2010 4:40,13.7,,,,,,,
7/9/2010 4:50,13.7,,,,,,,
7/9/2010 5:00,13.7,,,,,,,
7/9/2010 5:10,13.7,,,,,,,
7/9/2010 5:20,13.7,,,,,,,
7/9/2010 5:30,13.7,,,,,,,
7/9/2010 5:40,13.7,,,,,,,
7/9/2010 5:50,13.8,,,,,,,
7/9/2010 6:00,13.9,,,,,,,
7/9/2010 6:10,14,,,,,,,
7/9/2010 6:20,14.3,,,,,,,
7/9/2010 6:30,14.4,,,,,,,
7/9/2010 6:40,14.6,,,,,,,
7/9/2010 6:50,14.6,,,,,,,
7/9/2010 7:00,14.5,,,,,,,
7/9/2010 7:10,14.7,,,,,,,
7/9/2010 7:20,14.8,,,,,,,
7/9/2010 7:30,14.8,,,,,,,
7/9/2010 7:40,16.5,,,,,,,
7/9/2010 7:50,14.9,,,,,,,
7/9/2010 8:00,14.8,,,,,,,
7/9/2010 8:10,14.9,,,,,,,
7/9/2010 8:20,15,,,,,,,
7/9/2010 8:30,15,,,,,,,
7/9/2010 8:40,15.3,,,,,,,
7/9/2010 8:50,14.9,,,,,,,
7/9/2010 9:00,14.7,,,,,,,
7/9/2010 9:10,14.6,,,,,,,
7/9/2010 9:20,14.5,,,,,,,
7/9/2010 9:30,14.4,,,,,,,
7/9/2010 9:40,14.3,,,,,,,
7/9/2010 9:50,14.2,,,,,,,
7/9/2010 10:00,14,,,,,,,
7/9/2010 10:10,13.9,,,,,,,
7/9/2010 10:20,13.9,,,,,,,
7/9/2010 10:30,13.9,,,,,,,
7/9/2010 10:40,13.8,,,,,,,
7/9/2010 10:50,13.8,,,,,,,
7/9/2010 11:00,13.8,,,,,,,
7/9/2010 11:10,13.8,,,,,,,
7/9/2010 11:20,13.8,,,,,,,
7/9/2010 11:30,14.1,,,,,,,
7/9/2010 11:40,14.7,,,,,,,
7/9/2010 11:50,17.1,,,,,,,
7/9/2010 12:00,16.6,,,,,,,
7/9/2010 12:10,15.5,,,,,,,
7/9/2010 12:20,14.9,,,,,,,
7/9/2010 12:30,15,,,,,,,
7/9/2010 12:40,14.8,,,,,,,
7/9/2010 12:50,14.8,,,,,,,
7/9/2010 13:00,14.8,,,,,,,
7/9/2010 13:10,14.7,,,,,,,
7/9/2010 13:20,14.6,,,,,,,
7/9/2010 13:30,14.5,,,,,,,
7/9/2010 13:40,14.4,,,,,,,
7/9/2010 13:50,14.4,,,,,,,
7/9/2010 14:00,14.4,,,,,,,
7/9/2010 14:10,14.5,,,,,,,
7/9/2010 14:20,14.6,,,,,,,
7/9/2010 14:30,14.5,,,,,,,
7/9/2010 14:40,14.5,,,,,,,
7/9/2010 14:50,14.4,,,,,,,
7/9/2010 15:00,14.4,,,,,,,
7/9/2010 15:10,14.3,,,,,,,
7/9/2010 15:20,14.2,,,,,,,
7/9/2010 15:30,14.1,,,,,,,
7/9/2010 15:40,14,,,,,,,
7/9/2010 15:50,13.9,,,,,,,
7/9/2010 16:00,14,,,,,,,
7/9/2010 16:10,14.1,,,,,,,
7/9/2010 16:20,14.4,,,,,,,
7/9/2010 16:30,14.6,,,,,,,
7/9/2010 16:40,14.6,,,,,,,
7/9/2010 16:50,14.6,,,,,,,
7/9/2010 17:00,14.4,,,,,,,
7/9/2010 17:10,14.3,,,,,,,
7/9/2010 17:20,14.2,,,,,,,
7/9/2010 17:30,14.1,,,,,,,
7/9/2010 17:40,13.9,,,,,,,
7/9/2010 17:50,13.9,,,,,,,
7/9/2010 18:00,13.8,,,,,,,
7/9/2010 18:10,13.8,,,,,,,
7/9/2010 18:20,13.7,,,,,,,
7/9/2010 18:30,13.7,,,,,,,
7/9/2010 18:40,13.7,,,,,,,
7/9/2010 18:50,13.8,,,,,,,
7/9/2010 19:00,13.8,,,,,,,
7/9/2010 19:10,13.8,,,,,,,
7/9/2010 19:20,13.8,,,,,,,
7/9/2010 19:30,13.8,,,,,,,
7/9/2010 19:40,13.8,,,,,,,
7/9/2010 19:50,13.8,,,,,,,
7/9/2010 20:00,13.8,,,,,,,
7/9/2010 20:10,13.8,,,,,,,
7/9/2010 20:20,13.8,,,,,,,
7/9/2010 20:30,13.8,,,,,,,
7/9/2010 20:40,13.8,,,,,,,
7/9/2010 20:50,13.8,,,,,,,
7/9/2010 21:00,13.8,,,,,,,
7/9/2010 21:10,13.8,,,,,,,
7/9/2010 21:20,13.8,,,,,,,
7/9/2010 21:30,13.8,,,,,,,
7/9/2010 21:40,13.8,,,,,,,
7/9/2010 21:50,13.8,,,,,,,
7/9/2010 22:00,13.8,,,,,,,
7/9/2010 22:10,13.8,,,,,,,
7/9/2010 22:20,13.8,,,,,,,
7/9/2010 22:30,13.8,,,,,,,
7/9/2010 22:40,13.8,,,,,,,
7/9/2010 22:50,13.8,,,,,,,
7/9/2010 23:00,13.8,,,,,,,
7/9/2010 23:10,13.8,,,,,,,
7/9/2010 23:20,13.8,,,,,,,
7/9/2010 23:30,13.7,,,,,,,
7/9/2010 23:40,13.7,,,,,,,
7/9/2010 23:50,13.7,,,,,,,
7/10/2010 0:00,13.7,,,,,,,
7/10/2010 0:10,13.7,,,,,,,
7/10/2010 0:20,13.7,,,,,,,
7/10/2010 0:30,13.7,,,,,,,
7/10/2010 0:40,13.7,,,,,,,
7/10/2010 0:50,13.7,,,,,,,
7/10/2010 1:00,13.7,,,,,,,
7/10/2010 1:10,13.7,,,,,,,
7/10/2010 1:20,13.7,,,,,,,
7/10/2010 1:30,13.7,,,,,,,
7/10/2010 1:40,13.7,,,,,,,
7/10/2010 1:50,13.7,,,,,,,
7/10/2010 2:00,13.7,,,,,,,
7/10/2010 2:10,13.7,,,,,,,
7/10/2010 2:20,13.7,,,,,,,
7/10/2010 2:30,13.7,,,,,,,
7/10/2010 2:40,13.7,,,,,,,
7/10/2010 2:50,13.7,,,,,,,
7/10/2010 3:00,13.6,,,,,,,
7/10/2010 3:10,13.6,,,,,,,
7/10/2010 3:20,13.6,,,,,,,
7/10/2010 3:30,13.6,,,,,,,
7/10/2010 3:40,13.7,,,,,,,
7/10/2010 3:50,13.7,,,,,,,
7/10/2010 4:00,13.8,,,,,,,
7/10/2010 4:10,13.9,,,,,,,
7/10/2010 4:20,14.1,,,,,,,
7/10/2010 4:30,14.3,,,,,,,
7/10/2010 4:40,14.4,,,,,,,
7/10/2010 4:50,14.5,,,,,,,
7/10/2010 5:00,14.5,,,,,,,
7/10/2010 5:10,14.5,,,,,,,
7/10/2010 5:20,14.6,,,,,,,
7/10/2010 5:30,14.6,,,,,,,
7/10/2010 5:40,14.7,,,,,,,
7/10/2010 5:50,14.9,,,,,,,
7/10/2010 6:00,15,,,,,,,
7/10/2010 6:10,15.5,,,,,,,
7/10/2010 6:20,15.8,,,,,,,
7/10/2010 6:30,15.9,,,,,,,
7/10/2010 6:40,16.1,,,,,,,
7/10/2010 6:50,16.2,,,,,,,
7/10/2010 7:00,16.1,,,,,,,
7/10/2010 7:10,16,,,,,,,
7/10/2010 7:20,15.9,,,,,,,
7/10/2010 7:30,15.9,,,,,,,
7/10/2010 7:40,15.7,,,,,,,
7/10/2010 7:50,15.7,,,,,,,
7/10/2010 8:00,15.6,,,,,,,
7/10/2010 8:10,15.6,,,,,,,
7/10/2010 8:20,15.7,,,,,,,
7/10/2010 8:30,15.6,,,,,,,
7/10/2010 8:40,15.7,,,,,,,
7/10/2010 8:50,15.6,,,,,,,
7/10/2010 9:00,15.8,,,,,,,
7/10/2010 9:10,15.7,,,,,,,
7/10/2010 9:20,15.7,,,,,,,
7/10/2010 9:30,15.7,,,,,,,
7/10/2010 9:40,15.7,,,,,,,
7/10/2010 9:50,15.7,,,,,,,
7/10/2010 10:00,15.5,,,,,,,
7/10/2010 10:10,15.6,,,,,,,
7/10/2010 10:20,15.4,,,,,,,
7/10/2010 10:30,15.2,,,,,,,
7/10/2010 10:40,15.1,,,,,,,
7/10/2010 10:50,15.2,,,,,,,
7/10/2010 11:00,15.2,,,,,,,
7/10/2010 11:10,15.2,,,,,,,
7/10/2010 11:20,15.3,,,,,,,
7/10/2010 11:30,15.3,,,,,,,
7/10/2010 11:40,15.4,,,,,,,
7/10/2010 11:50,15.4,,,,,,,
7/10/2010 12:00,15.5,,,,,,,
7/10/2010 12:10,15.5,,,,,,,
7/10/2010 12:20,15.5,,,,,,,
7/10/2010 12:30,15.5,,,,,,,
7/10/2010 12:40,15.6,,,,,,,
7/10/2010 12:50,15.6,,,,,,,
7/10/2010 13:00,15.7,,,,,,,
7/10/2010 13:10,15.6,,,,,,,
7/10/2010 13:20,15.7,,,,,,,
7/10/2010 13:30,15.6,,,,,,,
7/10/2010 13:40,15.5,,,,,,,
7/10/2010 13:50,15.5,,,,,,,
7/10/2010 14:00,15.4,,,,,,,
7/10/2010 14:10,15.6,,,,,,,
7/10/2010 14:20,15.5,,,,,,,
7/10/2010 14:30,15.4,,,,,,,
7/10/2010 14:40,15.3,,,,,,,
7/10/2010 14:50,15.2,,,,,,,
7/10/2010 15:00,15.1,,,,,,,
7/10/2010 15:10,15.2,,,,,,,
7/10/2010 15:20,15,,,,,,,
7/10/2010 15:30,15,,,,,,,
7/10/2010 15:40,15,,,,,,,
